yaxcatd (C:\Program Files\Tableau\Tableau 2023.3\bin\yaxcat\yaxcatd.exe) built at 26ca6db listening on 127.0.0.1:34513 with 8 worker threads.
0.012ms; [no ensemble]::AggModelServiceImpl::ping: 
0.010ms; [no ensemble]::AggModelServiceImpl::ping: 
0.406ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.119ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.138ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.145ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.057ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.100ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.108ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.008ms; [no ensemble]::AggModelServiceImpl::ping: 
0.082ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.074ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.103ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.088ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.173ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.098ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.138ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.117ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.007ms; [no ensemble]::AggModelServiceImpl::ping: 
0.078ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.122ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.107ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
stdin closed, exiting.
